algo,mse,std,nruns,tstamp,n_samples,n_features,nsamples,rho,snr
lasso,0.2840244550770866,0.09504914600249759,5,01/08/2416:45,10,50,10,0.5,1.0
enet,0.4002371273712737,0.0514345456045602,5,01/08/2416:45,10,50,10,0.5,1.0
irksn,0.38512820512820517,0.06239573815079027,5,01/08/2417:09,10,50,10,0.5,1.0
iht,0.36000000000000004,0.08000000000000002,5,01/08/2417:25,10,50,10,0.5,1.0
irosr,0.3386666666666668,0.01066666666666667,5,01/08/2417:48,10,50,10,0.5,1.0
ircr,0.38373935400446535,0.02226371264755294,5,01/08/2417:49,10,50,10,0.5,1.0
srdi,0.4119522227495649,0.029124426892799364,5,01/08/2418:04,10,50,10,0.5,1.0
omp,0.24,0.048989794855663536,5,01/08/2418:04,10,50,10,0.5,1.0
ksn,0.3653314320283467,0.02607199475509095,5,01/08/2418:08,10,50,10,0.5,1.0
lasso,0.5083654496281271,0.050497900277651754,5,01/08/2418:08,30,50,30,0.5,1.0
enet,0.5461286075228639,0.04300493463613946,5,01/08/2418:08,30,50,30,0.5,1.0
irksn,0.5716205533596839,0.051807553110792604,5,01/08/2418:33,30,50,30,0.5,1.0
iht,0.4800000000000001,0.11661903789690599,5,01/08/2418:44,30,50,30,0.5,1.0
irosr,0.36991789819376025,0.04450292339386502,5,01/08/2419:04,30,50,30,0.5,1.0
ircr,0.46235781762097544,0.05813164726058897,5,01/08/2419:05,30,50,30,0.5,1.0
srdi,0.5398994640300941,0.05285938705576015,5,01/08/2419:16,30,50,30,0.5,1.0
omp,0.26,0.048989794855663536,5,01/08/2419:16,30,50,30,0.5,1.0
ksn,0.37635655057700734,0.03280754688067611,5,01/08/2419:18,30,50,30,0.5,1.0
lasso,0.5825959079283888,0.07890753426574693,5,01/08/2419:18,50,50,50,0.5,1.0
enet,0.6087414187643021,0.0778734909326878,5,01/08/2419:18,50,50,50,0.5,1.0
irksn,0.6769696969696969,0.08053083753635441,5,01/08/2419:37,50,50,50,0.5,1.0
iht,0.56,0.04898979485566355,5,01/08/2419:46,50,50,50,0.5,1.0
irosr,0.3529657683162938,0.01485114466794278,5,01/08/2420:07,50,50,50,0.5,1.0
ircr,0.44470336034764346,0.06325813397404188,5,01/08/2420:08,50,50,50,0.5,1.0
srdi,0.5585573905438082,0.04476074394750803,5,01/08/2420:17,50,50,50,0.5,1.0
omp,0.52,0.09797958971132709,5,01/08/2420:17,50,50,50,0.5,1.0
ksn,0.3726578783051487,0.03776882808744835,5,01/08/2420:19,50,50,50,0.5,1.0
lasso,0.6064211913182165,0.06128610059831662,5,01/08/2420:20,70,50,70,0.5,1.0
enet,0.626658345468414,0.055711491113293286,5,01/08/2420:20,70,50,70,0.5,1.0
irksn,0.7222246738768479,0.06768770635185725,5,01/08/2420:38,70,50,70,0.5,1.0
iht,0.54,0.10198039027185567,5,01/08/2420:47,70,50,70,0.5,1.0
irosr,0.3368421052631579,0.0070175438596490995,5,01/08/2421:08,70,50,70,0.5,1.0
ircr,0.5222058643111275,0.08155221770323741,5,01/08/2421:08,70,50,70,0.5,1.0
srdi,0.6,0.07601169500660918,5,01/08/2421:18,70,50,70,0.5,1.0
omp,0.48,0.116619037896906,5,01/08/2421:18,70,50,70,0.5,1.0
ksn,0.36407837445573293,0.031786558185384166,5,01/08/2421:20,70,50,70,0.5,1.0
lasso,0.6516541353383458,0.06468935312387479,5,01/08/2421:20,90,50,90,0.5,1.0
enet,0.6623684210526315,0.05408120611096554,5,01/08/2421:20,90,50,90,0.5,1.0
irksn,0.7171428571428572,0.06328856276509014,5,01/08/2421:39,90,50,90,0.5,1.0
iht,0.64,0.07999999999999999,5,01/08/2421:48,90,50,90,0.5,1.0
irosr,0.36576086956521736,0.042316917268186545,5,01/08/2422:08,90,50,90,0.5,1.0
ircr,0.5523928869793531,0.09261331408660765,5,01/08/2422:09,90,50,90,0.5,1.0
srdi,0.6192857142857142,0.06077914369576148,5,01/08/2422:19,90,50,90,0.5,1.0
omp,0.52,0.07483314773547879,5,01/08/2422:19,90,50,90,0.5,1.0
ksn,0.35290613802410536,0.01710010080834059,5,01/08/2422:21,90,50,90,0.5,1.0
