algo,mse,std,nruns,tstamp,n_samples,n_features,nsamples,rho,snr
lasso,0.5255964912280702,0.06868196765399832,5,01/08/2416:45,30,50,30,0.1,1.0
enet,0.5727282913165266,0.07616297411034106,5,01/08/2416:45,30,50,30,0.1,1.0
irksn,0.6476190476190475,0.05276912448455267,5,01/08/2417:09,30,50,30,0.1,1.0
iht,0.52,0.09797958971132709,5,01/08/2417:26,30,50,30,0.1,1.0
irosr,0.354243496616378,0.023422925287894844,5,01/08/2417:48,30,50,30,0.1,1.0
ircr,0.4564032760947462,0.03301610167797158,5,01/08/2417:49,30,50,30,0.1,1.0
srdi,0.566875059202425,0.07566659498638065,5,01/08/2418:04,30,50,30,0.1,1.0
omp,0.36000000000000004,0.048989794855663606,5,01/08/2418:04,30,50,30,0.1,1.0
ksn,0.37872855821217294,0.014519343644733701,5,01/08/2418:08,30,50,30,0.1,1.0
lasso,0.5072514619883041,0.04660433481038247,5,01/08/2418:08,30,50,30,0.3,1.0
enet,0.5678894205209994,0.07638456419708807,5,01/08/2418:08,30,50,30,0.3,1.0
irksn,0.6261375661375661,0.04878479033792763,5,01/08/2418:32,30,50,30,0.3,1.0
iht,0.5,0.06324555320336755,5,01/08/2418:43,30,50,30,0.3,1.0
irosr,0.37176470588235294,0.04794758965002494,5,01/08/2419:03,30,50,30,0.3,1.0
ircr,0.4560173160173161,0.03679765722765785,5,01/08/2419:04,30,50,30,0.3,1.0
srdi,0.5581769108084897,0.0795259266660234,5,01/08/2419:15,30,50,30,0.3,1.0
omp,0.38,0.07483314773547885,5,01/08/2419:15,30,50,30,0.3,1.0
ksn,0.3623403623403624,0.05392022010690764,5,01/08/2419:17,30,50,30,0.3,1.0
lasso,0.5083654496281271,0.050497900277651754,5,01/08/2419:17,30,50,30,0.5,1.0
enet,0.5461286075228639,0.04300493463613946,5,01/08/2419:18,30,50,30,0.5,1.0
irksn,0.5716205533596839,0.051807553110792604,5,01/08/2419:36,30,50,30,0.5,1.0
iht,0.4800000000000001,0.11661903789690599,5,01/08/2419:45,30,50,30,0.5,1.0
irosr,0.36991789819376025,0.04450292339386502,5,01/08/2420:06,30,50,30,0.5,1.0
ircr,0.46235781762097544,0.05813164726058897,5,01/08/2420:07,30,50,30,0.5,1.0
srdi,0.5398994640300941,0.05285938705576015,5,01/08/2420:15,30,50,30,0.5,1.0
omp,0.26,0.048989794855663536,5,01/08/2420:15,30,50,30,0.5,1.0
ksn,0.37635655057700734,0.03280754688067611,5,01/08/2420:18,30,50,30,0.5,1.0
lasso,0.45622926093514327,0.05837968611818522,5,01/08/2420:18,30,50,30,0.7,1.0
enet,0.4973239249101318,0.04929725650913377,5,01/08/2420:18,30,50,30,0.7,1.0
irksn,0.5548051948051949,0.09181515085281851,5,01/08/2420:36,30,50,30,0.7,1.0
iht,0.4000000000000001,0.0632455532033676,5,01/08/2420:45,30,50,30,0.7,1.0
irosr,0.3713944937673751,0.04484661272051711,5,01/08/2421:05,30,50,30,0.7,1.0
ircr,0.4148629148629149,0.027958502069225646,5,01/08/2421:06,30,50,30,0.7,1.0
srdi,0.4655826558265582,0.04025003850058703,5,01/08/2421:15,30,50,30,0.7,1.0
omp,0.32,0.14696938456699066,5,01/08/2421:15,30,50,30,0.7,1.0
ksn,0.36174798174798173,0.03327676149937378,5,01/08/2421:18,30,50,30,0.7,1.0
lasso,0.43588003887629007,0.0819130262415497,5,01/08/2421:18,30,50,30,0.9,1.0
enet,0.4763700522653883,0.04943303101041114,5,01/08/2421:18,30,50,30,0.9,1.0
irksn,0.5123890923890924,0.08934975737883068,5,01/08/2421:34,30,50,30,0.9,1.0
iht,0.4,0.12649110640673517,5,01/08/2421:43,30,50,30,0.9,1.0
irosr,0.36860544217687075,0.02132509298716407,5,01/08/2422:04,30,50,30,0.9,1.0
ircr,0.3589292641924221,0.015559604126589105,5,01/08/2422:05,30,50,30,0.9,1.0
srdi,0.45267623454815575,0.049097908342951635,5,01/08/2422:14,30,50,30,0.9,1.0
omp,0.26,0.04898979485566354,5,01/08/2422:14,30,50,30,0.9,1.0
ksn,0.3721258395831451,0.05518201200139963,5,01/08/2422:16,30,50,30,0.9,1.0
