algo,mse,std,nruns,tstamp,n_samples,n_features,nsamples,rho,snr
lasso,0.39283208020050125,0.047861564220046546,5,01/08/2413:27,30,50,30,0.5,0.1
enet,0.42421910166182675,0.03008235441709639,5,01/08/2413:27,30,50,30,0.5,0.1
irksn,0.5205002405002406,0.08062953774884123,5,01/08/2413:44,30,50,30,0.5,0.1
iht,0.38000000000000006,0.040000000000000036,5,01/08/2413:53,30,50,30,0.5,0.1
irosr,0.3515051997810618,0.020660819805969496,5,01/08/2414:09,30,50,30,0.5,0.1
ircr,0.3521059070107576,0.008361174382562099,5,01/08/2414:10,30,50,30,0.5,0.1
srdi,0.39273953780040205,0.018045801517534276,5,01/08/2414:19,30,50,30,0.5,0.1
omp,0.18000000000000002,0.07483314773547882,5,01/08/2414:19,30,50,30,0.5,0.1
ksn,0.3859645970271591,0.0339198135948114,5,01/08/2414:22,30,50,30,0.5,0.1
lasso,0.39117431588019824,0.08171208990481856,5,01/08/2414:22,30,50,30,0.5,0.5
enet,0.4571717171717172,0.05406673577303621,5,01/08/2414:22,30,50,30,0.5,0.5
irksn,0.47035771246297564,0.029907758374665565,5,01/08/2414:40,30,50,30,0.5,0.5
iht,0.4200000000000001,0.03999999999999997,5,01/08/2414:49,30,50,30,0.5,0.5
irosr,0.39581736909323123,0.09956135680842382,5,01/08/2415:08,30,50,30,0.5,0.5
ircr,0.41934970823421747,0.05551403081587422,5,01/08/2415:09,30,50,30,0.5,0.5
srdi,0.44988344988344986,0.04918978303773142,5,01/08/2415:19,30,50,30,0.5,0.5
omp,0.22000000000000003,0.07483314773547882,5,01/08/2415:19,30,50,30,0.5,0.5
ksn,0.3402106074845177,0.03458791465441,5,01/08/2415:21,30,50,30,0.5,0.5
lasso,0.5083654496281271,0.050497900277651754,5,01/08/2415:21,30,50,30,0.5,1.0
enet,0.5461286075228639,0.04300493463613946,5,01/08/2415:22,30,50,30,0.5,1.0
irksn,0.5716205533596839,0.051807553110792604,5,01/08/2415:40,30,50,30,0.5,1.0
iht,0.4800000000000001,0.11661903789690599,5,01/08/2415:49,30,50,30,0.5,1.0
irosr,0.36991789819376025,0.04450292339386502,5,01/08/2416:08,30,50,30,0.5,1.0
ircr,0.46235781762097544,0.05813164726058897,5,01/08/2416:09,30,50,30,0.5,1.0
srdi,0.5398994640300941,0.05285938705576015,5,01/08/2416:17,30,50,30,0.5,1.0
omp,0.26,0.048989794855663536,5,01/08/2416:17,30,50,30,0.5,1.0
ksn,0.37635655057700734,0.03280754688067611,5,01/08/2416:41,30,50,30,0.5,1.0
lasso,0.6151113076809671,0.07256351074358205,5,01/08/2416:41,30,50,30,0.5,2.0
enet,0.6184726522187822,0.07083072910851569,5,01/08/2416:41,30,50,30,0.5,2.0
irksn,0.7,0.0,5,01/08/2417:03,30,50,30,0.5,2.0
iht,0.52,0.07483314773547879,5,01/08/2417:19,30,50,30,0.5,2.0
irosr,0.36153230417381366,0.025787682241891676,5,01/08/2417:41,30,50,30,0.5,2.0
ircr,0.4783551639279193,0.04859110842065808,5,01/08/2417:42,30,50,30,0.5,2.0
srdi,0.5633501532222759,0.046535424187820106,5,01/08/2417:57,30,50,30,0.5,2.0
omp,0.48,0.11661903789690596,5,01/08/2417:57,30,50,30,0.5,2.0
ksn,0.3908262108262108,0.041980963295408014,5,01/08/2418:01,30,50,30,0.5,2.0
lasso,0.6663203463203464,0.08071307546466179,5,01/08/2418:01,30,50,30,0.5,3.0
enet,0.6663203463203464,0.08071307546466179,5,01/08/2418:01,30,50,30,0.5,3.0
irksn,0.776017316017316,0.04220421785287144,5,01/08/2418:25,30,50,30,0.5,3.0
iht,0.54,0.07999999999999996,5,01/08/2418:37,30,50,30,0.5,3.0
irosr,0.36329966329966334,0.02825876802472359,5,01/08/2418:57,30,50,30,0.5,3.0
ircr,0.46594405594405597,0.028161595409573633,5,01/08/2418:58,30,50,30,0.5,3.0
srdi,0.589172932330827,0.05111587653522735,5,01/08/2419:08,30,50,30,0.5,3.0
omp,0.52,0.11661903789690597,5,01/08/2419:08,30,50,30,0.5,3.0
ksn,0.4302426747869624,0.045210119696230885,5,01/08/2419:11,30,50,30,0.5,3.0
